id,term,termDesc,courseReferenceNumber,partOfTerm,courseNumber,subject,subjectDescription,sequenceNumber,campusDescription,scheduleTypeDescription,courseTitle,creditHours,maximumEnrollment,enrollment,seatsAvailable,waitCapacity,waitCount,waitAvailable,crossList,crossListCapacity,crossListCount,crossListAvailable,creditHourHigh,creditHourLow,creditHourIndicator,openSection,linkIdentifier,isSectionLinked,subjectCourse,reservedSeatSummary,sectionAttributes,instructionalMethod,instructionalMethodDescription,instructor,meetingBeginTime,meetingBuilding,meetingCampus,creditHourSession,endDate,endTime,friday,hoursAWeek,meetingType,monday,meetingRoom,saturday,startDate,sunday,thursday,tuesday,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276415,202410,Spring 2024,20291,1,2122,ACCT,Accounting,2,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,70,70,0,7,4,3,,,,,,3,,TRUE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,Kristin Roland,1010,Friday,Main Campus or Dubois Campus,3,5/8/2024,1100,TRUE,2.5,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276416,202410,Spring 2024,20292,1,2122,ACCT,Accounting,3,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,70,70,0,7,7,0,,,,,,3,,FALSE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,Kristin Roland,1115,Friday,Main Campus or Dubois Campus,3,5/8/2024,1205,TRUE,2.5,Class,TRUE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277185,202410,Spring 2024,21061,1,2122,ACCT,Accounting,4,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,80,80,0,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,,1730,Friday,Main Campus or Dubois Campus,3,5/8/2024,2015,FALSE,2.75,Class,FALSE,142,FALSE,1/10/2024,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277843,202410,Spring 2024,21719,1,2122,ACCT,Accounting,5,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,80,50,30,8,0,8,,,,,,3,,TRUE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,,1730,McEniry,Main Campus or Dubois Campus,3,5/8/2024,2015,FALSE,2.75,Class,FALSE,117,FALSE,1/10/2024,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277348,202410,Spring 2024,21224,1,2122,ACCT,Accounting,6,Main Campus or Dubois Campus,Lecture,Principles of ACCT II,,80,80,0,8,8,0,,,,,,3,,FALSE,,FALSE,ACCT2122,,,TR,Face-to-Face Instruction,Octavia Meredith,1730,Friday,Main Campus or Dubois Campus,3,5/8/2024,2015,FALSE,2.75,Class,TRUE,137,FALSE,1/10/2024,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278518,202410,Spring 2024,22394,1,3300,ACCT,Accounting,1,Main Campus or Dubois Campus,Lecture,Prof Dev for Accountants,1,40,39,1,4,0,4,,,,,3,1,TO,TRUE,,FALSE,ACCT3300,,,TR,Face-to-Face Instruction,Steven Kanczewski,1000,Friday,Main Campus or Dubois Campus,1,5/8/2024,1115,FALSE,1.25,Class,FALSE,128,FALSE,1/10/2024,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279640,202410,Spring 2024,23516,1,3300,ACCT,Accounting,2,Main Campus or Dubois Campus,Lecture,Prof Dev for Accountants,1,40,6,34,4,0,4,,,,,3,1,TO,TRUE,,FALSE,ACCT3300,,,TR,Face-to-Face Instruction,Steven Kanczewski,1000,Friday,Main Campus or Dubois Campus,1,5/8/2024,1115,FALSE,1.25,Class,FALSE,128,FALSE,1/10/2024,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283279,202410,Spring 2024,26689,1,3300,ACCT,Accounting,3,Main Campus or Dubois Campus,Lecture,Prof Dev for Accountants,1,60,60,0,4,1,3,,,,,3,1,TO,TRUE,,FALSE,ACCT3300,,,TR,Face-to-Face Instruction,Steven Kanczewski,1430,College of Health & Human Serv,Main Campus or Dubois Campus,1,5/8/2024,1545,FALSE,1.25,Class,FALSE,161,FALSE,1/10/2024,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279433,202410,Spring 2024,23309,1,3323,ACCT,Accounting,2,Main Campus or Dubois Campus,Lecture,Intermediate Accounting I,,41,41,0,4,0,4,,,,,,3,,TRUE,,FALSE,ACCT3323,,,TR,Face-to-Face Instruction,Pat Mynatt,1000,Friday,Main Campus or Dubois Campus,3,5/8/2024,1115,FALSE,2.5,Class,FALSE,122,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279434,202410,Spring 2024,23310,1,3323,ACCT,Accounting,3,Main Campus or Dubois Campus,Lecture,Intermediate Accounting I,,41,41,0,4,0,4,,,,,,3,,TRUE,,FALSE,ACCT3323,,,TR,Face-to-Face Instruction,Pat Mynatt,1130,Friday,Main Campus or Dubois Campus,3,5/8/2024,1245,FALSE,2.5,Class,FALSE,122,FALSE,1/10/2024,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
